Model number,Label,Number of vertices,Number of faces,Number of edges,Type of faces,Bounding box,Barycenter,Diagonal,Surface,Bounding box volume,Convex hull volume,Compactness,Eccentricity,A3,D1,D2,D3,D4
0,animal,298,492,1476,triangles,"[[0.025, 0.025, 0.025], [0.642549, 0.547541, 0.975]]","[0.3337780153494215, 0.27750689562932834, 0.4237167866901373]",1.2477643463739456,0.674281438780807,0.26954854766032044,0.13170582308408163,0.15626484572874372,7.345730737273637,"[0.48535243864221356, 0.5782922673183821, 0.4079025814120731, 0.340779371812618, 0.2684928383978203, 0.16522636209096633, 0.18846131926000848, 0.10326647630685395, 0.04388825243041293]","[0.4247237315009865, 0.86092648277227, 0.26565731468401477, 0.08855243822800492, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2953143667148088, 0.6800001865143623, 0.5945144487811282, 0.3050286550935854, 0.06217144562417028, 0.005828573027265963, 0.0, 0.0, 0.0]","[0.26635015492943126, 0.7418477469511006, 0.5916906126284681, 0.1680329836467553, 0.019663434256535196, 0.0, 0.0, 0.0, 0.0]","[0.5275243872851897, 0.8235679240303111, 0.20786035558700014, 0.015746996635378797, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,animal,255,410,1230,triangles,"[[0.025, 0.025, 0.025], [0.424855, 0.384845, 0.975]]","[0.226946536900276, 0.21010151307783997, 0.4177344967370462]",1.0917291079063525,0.5057757902672008,0.12540908650784305,0.06797621718784322,0.2475755501893923,13.544321973433135,"[0.4978597702048722, 0.5994638049405604, 0.42419684502149824, 0.297191801601888, 0.21590857381333745, 0.198127867734592, 0.16002635470870893, 0.10668423647247262, 0.04064161389427528]","[0.5718460999626768, 0.7808210203456379, 0.2510938965841782, 0.016199606231237302, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.49862194876141075, 0.8115502062599513, 0.28541808101515237, 0.10488254784291744, 0.017193860302117614, 0.0017193860302117613, 0.0, 0.0, 0.0]","[0.4715612258161382, 0.858364714965977, 0.20187751824154937, 0.009246298545414474, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.7809913676671898, 0.624223027442024, 0.019952334210475653, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,animal,3495,6667,20001,triangles,"[[0.025, 0.025, 0.025], [0.61683, 0.515443, 0.975]]","[0.3210170237930982, 0.2659885149920315, 0.4159649006687237]",1.2220053539772238,0.6403094219319992,0.24918686843013715,0.12172604699102124,0.15665716620152534,7.861079358296183,"[0.4978437097460094, 0.6146845804006851, 0.40386300943681375, 0.23622176023662692, 0.24638183594572913, 0.22860170345480024, 0.1447810788547068, 0.1447810788547068, 0.022860170345480022]","[0.4413237822025933, 0.8368806536582509, 0.32200290775522544, 0.0343251830602017, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.39547510948761777, 0.7134060798600164, 0.5253615425056098, 0.23069381386777701, 0.07366693215945821, 0.0, 0.0, 0.0, 0.0]","[0.3629051996289796, 0.8056842709466342, 0.4584065679523953, 0.09376497980844449, 0.01562749663474075, 0.0, 0.0, 0.0, 0.0]","[0.6609804101687482, 0.7381977478052841, 0.13435816748757265, 0.01081042726911504, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,animal,486,912,2736,triangles,"[[0.025, 0.025, 0.025], [0.931406, 0.556332, 0.975]]","[0.4787897807640991, 0.2945639603738833, 0.47339197405005695]",1.4164693893833358,0.7251078297378583,0.4297089778441356,0.16772144323176225,0.11983349583479877,5.250514591598179,"[0.40282208717188966, 0.5589156459509969, 0.5211510752786322, 0.3600222404098764, 0.2567990805720797, 0.18378757727217465, 0.13343481637568844, 0.07804677938955362, 0.022658742403418794]","[0.25002666919923233, 0.7468538570273844, 0.616194758929721, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25907505147972815, 0.5695538830149579, 0.604508453452699, 0.4708586253083948, 0.14598673535762458, 0.006168453606660193, 0.0, 0.0, 0.0]","[0.1912945647920544, 0.7057469380677734, 0.6351722442609962, 0.23958251318616522, 0.06314577866922184, 0.02228674541266653, 0.0, 0.0, 0.0]","[0.4334110447197298, 0.8182934396445863, 0.37484198462246904, 0.04518184636074404, 0.0016734017170645938, 0.0, 0.0, 0.0, 0.0]"
4,animal,4346,8216,24648,triangles,"[[0.025, 0.025, 0.025], [0.556745, 0.975, 0.332245]]","[0.2944215178340634, 0.4013581743377001, 0.15973540403783448]",1.1312171476113682,0.41249455217176845,0.1512994105919641,0.06882155433082587,0.13102474533570005,14.521534332083405,"[0.5082056251724719, 0.6308759484899651, 0.39054225382712127, 0.2478441226210577, 0.23031979071855868, 0.21029198282998837, 0.13769117923392096, 0.11015294338713677, 0.037552139791069354]","[0.583011022897362, 0.7900914408663703, 0.18637237617210753, 0.0334514521334552, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.41031915683397546, 0.7955532997130353, 0.4246534505224986, 0.13259221661883921, 0.02866858737704632, 0.0, 0.0, 0.0, 0.0]","[0.4164226844252124, 0.8410750661710812, 0.3423554085393051, 0.04444036553154441, 0.0016459394641312743, 0.0, 0.0, 0.0, 0.0]","[0.80465237077139, 0.592751034696362, 0.034362378822977505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,animal,4710,8773,26319,triangles,"[[0.025, 0.025, 0.025], [0.621308, 0.450884, 0.975]]","[0.3130387965142925, 0.32653421991818027, 0.4070350036782671]",1.1997751507345031,1.1209792185379353,0.23995981440165154,0.15443273885574577,0.5222296954792817,5.133961773410146,"[0.4103459344146189, 0.6040496053184142, 0.43073579450975524, 0.34153015659353375, 0.28800677384380086, 0.23448339109406796, 0.14272902066595441, 0.07646197535676129, 0.020389860095136342]","[0.32659222423755824, 0.9246188748414427, 0.19595533454253494, 0.00435456298983411, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3754871953875353, 0.7299011298094435, 0.500011010184422, 0.27395239255315074, 0.03448351794375324, 0.00191575099687518, 0.0, 0.0, 0.0]","[0.2842094043642632, 0.8476710723189942, 0.4411855288677806, 0.07766187212279284, 0.0016523802579317625, 0.0, 0.0, 0.0, 0.0]","[0.566873070590481, 0.8149740166048824, 0.12029136776455829, 0.0015036420970569787, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,animal,9184,17998,53994,triangles,"[[0.025, 0.025, 0.025], [0.668147, 0.702228, 0.975]]","[0.3465446408232458, 0.4715174227729257, 0.45743307767331204]",1.3322071263857584,1.8092444399019265,0.3895632200788417,0.2747092987234281,0.6938932231069552,3.7868286326976026,"[0.42603668890180296, 0.5422285131477492, 0.4983338239881695, 0.3511575132766376, 0.2711142565738746, 0.19365304040991044, 0.18332487825471522, 0.08520733778036059, 0.03098448646558567]","[0.313896235474276, 0.7713833020697632, 0.5526577337339645, 0.031723555712825764, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2636215979648887, 0.7322822165691354, 0.5272431959297774, 0.32610968044545496, 0.0995903814534024, 0.0039055051550353887, 0.0, 0.0, 0.0]","[0.20871669048813543, 0.7980344048075766, 0.5314382959487818, 0.1911774728000568, 0.02455490476331005, 0.0, 0.0, 0.0, 0.0]","[0.3893662783496055, 0.8752827314119181, 0.2849021548899553, 0.033238584737161445, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,animal,265,506,1518,triangles,"[[0.025, 0.025, 0.025], [0.570829, 0.577454, 0.975]]","[0.29832629408654493, 0.3914978879078302, 0.5225152489610154]",1.2270430796663172,1.0288391757648718,0.2208182794403112,0.10556647160610096,0.8640484442594311,6.84970672830576,"[0.3881324217693197, 0.5407978409985854, 0.46317135664472153, 0.3984826196831682, 0.30015573950160723, 0.26651759628159954, 0.11902727600925804, 0.08797668226771246, 0.023287945306159182]","[0.2390228404425025, 0.8681926398008317, 0.43486736132119813, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.416691608750288, 0.827924375464546, 0.3293501361738084, 0.15648680503285925, 0.08916108658848956, 0.0, 0.0, 0.0, 0.0]","[0.28588988659387, 0.8674159059154919, 0.40122046584480614, 0.0698480972928205, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5597206366841556, 0.8225072486021809, 0.10095756842048431, 0.0014846701238306517, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,animal,423,698,2094,triangles,"[[0.025, 0.025, 0.025], [0.478489, 0.975, 0.834222]]","[0.25944900876292265, 0.5309492769245838, 0.38253726408278665]",1.3277772849408895,1.35626024701258,0.30648670308880527,0.15565490897692846,0.9104394761682347,6.553683052355813,"[0.33545666198456314, 0.5952464077320068, 0.45652372796395435, 0.406079117139208, 0.3228455092783766, 0.17655613788661217, 0.12106706597939121, 0.09836699110825535, 0.010088922164949268]","[0.4007714761241872, 0.7846327633823749, 0.4717942693613849, 0.03382037773199892, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2357360232326298, 0.7263736000420056, 0.5653831451514292, 0.30473193247144825, 0.061329697101171976, 0.02299863641293949, 0.0, 0.0, 0.0]","[0.1874673975153744, 0.7705082026319975, 0.591640227020998, 0.14275040361262453, 0.02751815009399991, 0.0, 0.0, 0.0, 0.0]","[0.43481225079241115, 0.8520401826189526, 0.2909405501625692, 0.017584318965869566, 0.0031971489028853758, 0.0, 0.0, 0.0, 0.0]"
9,animal,557,902,2706,triangles,"[[0.025, 0.025, 0.025], [0.830435, 0.975, 0.482593]]","[0.3593848633529332, 0.5000772637899992, 0.3165421110655867]",1.3268823960223453,0.5887530548895714,0.3151122889465658,0.11381175593343587,0.13930698712172032,4.478184937350343,"[0.5131354818301577, 0.5698640275601248, 0.4254640929747538, 0.29395700969164806, 0.23980703422213395, 0.19597133979443204, 0.16760706692944846, 0.13924279406446488, 0.033521413385889695]","[0.22583181743791134, 0.9709492263855962, 0.07910493040198024, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4788998887303961, 0.7614691717360704, 0.39449607692350636, 0.18715627835440765, 0.012844058318439742, 0.0, 0.0, 0.0, 0.0]","[0.5188070238325511, 0.7958399006363405, 0.3072546451823846, 0.05540657536075788, 0.0016789871321441783, 0.0, 0.0, 0.0, 0.0]","[0.821041999040188, 0.5659325207669867, 0.07477346776973141, 0.004398439280572436, 0.0, 0.0, 0.0, 0.0, 0.0]"
