Model number,Label,Number of vertices,Number of faces,Number of edges,Type of faces,Bounding box,Barycenter,Diagonal,Surface,Bounding box volume,Convex hull volume,Compactness,Diameter,Eccentricity,A3,D1,D2,D3,D4
0,animal,1036,1968,5904,triangles,"[[-0.2498412343, -0.4480664889, -0.3215562083], [0.2671548668, 0.5519335111, 0.3558023505]]","[3.912356425118605e-12, -9.914340133837877e-12, 1.0550073548873237e-13]",1.3138110921027475,0.6599042687920161,0.26086886226657063,0.12751596920119723,0.15626484569569704,1.1084640969878867,8.230931350534746,"[0.35070475737277135, 0.4989936182527651, 0.4371799030263314, 0.3654375599656001, 0.3007413398840478, 0.2392479029748495, 0.20465784471342546, 0.18960476380336133, 0.1633419417900579, 0.14252385116975638, 0.12907216184586928, 0.09928627834297636, 0.06277455017813989, 0.019216699034124457]","[0.36449846694832655, 0.38449784490891253, 0.7937008037691371, 0.24038468019292542, 0.17764153364991064, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1807484198041015, 0.4323177903757731, 0.5792056882640667, 0.5002772885870778, 0.39058827393023515, 0.1886174143338315, 0.07463622084259072, 0.03004525184078732, 0.0081074489094188, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1441367885162003, 0.4524473182122879, 0.64290609406927, 0.531517873347483, 0.2643585044983225, 0.09048946364245758, 0.02413052363798869, 0.0045244731821228795, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3036096902850227, 0.7352117009843198, 0.5683379925372208, 0.20594113182936283, 0.04297416572049035, 0.0042788130371051, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,animal,894,1640,4920,triangles,"[[-0.4186783317, -0.2202087661, -0.1859142533], [0.5813216683, 0.2049293466, 0.2167924594]]","[1.6614061500266462e-11, 6.289326271451104e-12, 4.525078106738914e-12]",1.1588421425387319,0.5725439955531598,0.15104461455234616,0.08187159167346722,0.24757555005065346,1.0385467505280634,15.718584160495054,"[0.37969790209889603, 0.5440209437635443, 0.4010758512086658, 0.3315177481350865, 0.28908092378285694, 0.21505578656693775, 0.20739801375149783, 0.17229988834739818, 0.17102359287815821, 0.15730341658382835, 0.12635325145475867, 0.10625159781422888, 0.07051532467550926, 0.0191444320385998]","[0.3399142841273817, 0.6110795938256786, 0.48749272776987485, 0.5201535308710824, 0.05302340256554056, 0.004435417705102252, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.27048292448651584, 0.6069909729323114, 0.6030294654947547, 0.39262940381118333, 0.16704356361697767, 0.09881760219238862, 0.05348035040701656, 0.00836318236817543, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.17233177610566913, 0.6726195575017565, 0.6476520997435278, 0.3044903495026093, 0.07546554901359367, 0.004693131157561795, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.37549958911751735, 0.870098962878601, 0.31754620865422706, 0.03304779547080191, 0.00031930237169856915, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,animal,1040,1906,5718,triangles,"[[-0.4132388596, -0.3478529943, -0.3582948165], [0.5867611404, 0.3510094047, 0.440920844]]","[3.324471765825592e-11, 4.941419028275464e-12, 1.7913462760854144e-11]",1.4584767138094754,0.8403600420649442,0.41185558573347697,0.19965811543933035,0.13163454417801476,1.3126846954176656,8.95397915618967,"[0.3803800515784361, 0.5439877775901262, 0.4395573141784091, 0.33259520316883223, 0.26360780612715246, 0.19746851263306497, 0.18069634729724376, 0.16930393310687464, 0.16550646171008493, 0.14303808927907913, 0.14240517737961417, 0.10854439075823925, 0.07215195653900451, 0.025316475978598076]","[0.5145456469490453, 0.5698362662380305, 0.45904072293413367, 0.431395413289641, 0.08550758564459353, 0.07993566277050973, 0.0027859614370418944, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.21901989205794267, 0.5225015988432025, 0.573565905168314, 0.4615148443696096, 0.3005775756198506, 0.18901053668204776, 0.09680437218030616, 0.036301639567614806, 0.016456743270652045, 0.004114185817663011, 0.0002420109304507654, 0.0, 0.0, 0.0]","[0.1426018165972012, 0.5782355560239627, 0.6309178295146202, 0.4392305211510233, 0.21749950662006357, 0.080821801098117, 0.02158069034557051, 0.004866234097530605, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3201158664375097, 0.8007380076434067, 0.48205683416472056, 0.15082209729632812, 0.0346119676316187, 0.0044834154963236655, 0.0005380098595588399, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,animal,1013,1966,5898,triangles,"[[-0.3686023563, -0.3790463276, -0.3850302807], [0.619742946, 0.6209536724, 0.5284783316]]","[-3.1486505295852166e-12, -2.1958691090291913e-12, -1.068102326593634e-11]",1.6767004566483394,0.9915770465533171,0.6871637371106543,0.26820964804672487,0.11983349584610635,1.1815778215950024,6.378890449802777,"[0.33222536109081613, 0.4521956303736108, 0.42546485419388996, 0.409235454370488, 0.3525916667515558, 0.2657166441674631, 0.20716351539283648, 0.1867972097320968, 0.15051972777390424, 0.13906368083973816, 0.11296935171191544, 0.07987410501321345, 0.04900642299615487, 0.019411635082892512]","[0.09053600636990132, 0.27812140086293424, 0.5386566709921466, 0.6239819719594638, 0.44290995921966114, 0.19692124167266306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1494673416912789, 0.3524545292942773, 0.4470155005683517, 0.435923304524472, 0.41401621733780963, 0.397932533074184, 0.3061446108110796, 0.1860715886360819, 0.07320849388960599, 0.010814891142782702, 0.0, 0.0, 0.0, 0.0]","[0.09360144963567421, 0.30194016011507807, 0.500214198590646, 0.569660435417114, 0.4592006601750146, 0.2782881809060636, 0.16279606966204627, 0.09184013203500292, 0.043781323216686326, 0.013335690405082616, 0.0015097008005753904, 0.0, 0.0, 0.0]","[0.1729397307799851, 0.5462155853348044, 0.6418889264965041, 0.45182645009473826, 0.22109745284124332, 0.07812252689937445, 0.023757809550220724, 0.004494720725717435, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,animal,1165,1890,5670,triangles,"[[-0.3775448546, -0.2667825043, -0.2219511427], [0.6224551454, 0.3406427166, 0.3522477688]]","[-3.138601067390667e-12, 2.571998643451599e-11, -6.004638694506116e-12]",1.3033302685632673,0.4922105670671315,0.2274368967036556,0.10346356003537016,0.098497586812329,1.1640284152810394,14.224588717087117,"[0.38149824625783585, 0.5022255393774041, 0.4503932881980695, 0.3547772720473714, 0.2710730154844707, 0.2063631863723821, 0.1986366396127297, 0.1641891186426129, 0.159681966366149, 0.1458385700884385, 0.14326305450188773, 0.12169311146452486, 0.08949916663263997, 0.030262308141971787]","[0.344366416935266, 0.5459978795595666, 0.6983742551602594, 0.25989918259265354, 0.11905059331663485, 0.11716422828168818, 0.011108594094686, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.20477021480447588, 0.46903782858361787, 0.5563006804131282, 0.5099422903787008, 0.3237650127538081, 0.21195948384724803, 0.11949060960745445, 0.0647034213849494, 0.01859293717958316, 0.0004958116581222176, 0.0, 0.0, 0.0, 0.0]","[0.14690035267279575, 0.5034420039316579, 0.6334672056346774, 0.49348999182127706, 0.26783893462285885, 0.0874046280998667, 0.027692555437581527, 0.0030288732509854794, 0.00021634808935610568, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2896208857934041, 0.7886627232308253, 0.5138202522694431, 0.16887042314151812, 0.04000985478913236, 0.001261571997855525, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,animal,1103,1842,5526,triangles,"[[-0.4391428418, -0.3419355774, -0.1280918268], [0.5608571582, 0.3403994947, 0.3399707247]]","[-5.439873213939308e-12, -7.320468481507747e-13, -2.173246897080582e-12]",1.297945955244055,1.2884652147938664,0.28963270636521843,0.17800754444730094,0.5968825778431611,1.1828833747171716,5.071312145671051,"[0.2295609237614787, 0.4484737282761767, 0.47509402639312853, 0.3961726719758125, 0.3488824953209922, 0.29626825904278153, 0.2417749428974919, 0.1901002465528207, 0.1675512881478733, 0.13216195065121966, 0.09207491348686868, 0.05856465585729403, 0.04259247698712293, 0.012527199113859685]","[0.14044812036974608, 0.5612261584129773, 0.6835519406704981, 0.44210954019616305, 0.049836429808619576, 0.010571363898798092, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.15172210187027915, 0.5370872629816242, 0.6044195567110381, 0.47222382002228896, 0.2801023419143615, 0.13803120214529835, 0.05117254323435451, 0.008304316226627705, 0.0013466458745882764, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.08275336335373484, 0.4654372094968599, 0.6971466268873174, 0.4908687309177638, 0.21475506977652165, 0.05792735434761439, 0.00888084875015691, 0.0006055124147834257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.19440663102703865, 0.7586470446192011, 0.5887186207835231, 0.1975994406606944, 0.031928096336557445, 0.0024832963817322455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,animal,1105,1954,5862,triangles,"[[-0.4506588996, -0.3480871118, -0.2586791456], [0.5493411004, 0.3251569695, 0.4518084061]]","[1.0902632206490163e-11, -1.8828652794956234e-12, 2.047510976059698e-11]",1.3993034531959612,1.7632548462819024,0.4148099694536264,0.2910621845732397,0.5721650366417557,1.2198316409185785,3.7823657966900304,"[0.22337544304933094, 0.43135651660581065, 0.47471208783057534, 0.41784717194881876, 0.33899029964870336, 0.29563472842393873, 0.25322166961710374, 0.1935292164815582, 0.1687097228094103, 0.12598249319659874, 0.09770712065870875, 0.06817506489691254, 0.03832883832913977, 0.014137686268944996]","[0.1099674667197352, 0.5721900673057728, 0.5963390028286185, 0.5199006366695286, 0.1856075209607146, 0.011775100792131355, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.10080266976802094, 0.3651082345186213, 0.5823886303583028, 0.5126949184851973, 0.4140626411284496, 0.24477203304914175, 0.14662206511712136, 0.04027283696473564, 0.004581939534910043, 0.00024115471236368645, 0.0, 0.0, 0.0, 0.0]","[0.0440015807208021, 0.3128033164112466, 0.5709314013327836, 0.6190717445966314, 0.39710337452486244, 0.17448151563050732, 0.05315042423700847, 0.00675271783339042, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.12668654769116908, 0.5713543840572541, 0.6910352240419991, 0.40360660508676605, 0.1286325776096202, 0.02296315303772343, 0.0017514269266060243, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,animal,1029,2020,6060,triangles,"[[-0.2032476317, -0.5114220489, -0.2689687785], [0.3967932654, 0.4885779511, 0.3050764024]]","[-3.6253085898863876e-13, 5.036794936975988e-12, -5.276335862085424e-12]",1.2998372774724867,1.1369532877082715,0.2567785401339285,0.12275797339699537,0.8623351162566123,1.0687072715723336,7.235271791836548,"[0.2579658456571733, 0.4683702228232194, 0.4460068833340139, 0.3751371455161091, 0.33922981168837074, 0.298912805285296, 0.26363542468260565, 0.20977442394099804, 0.16662262802520716, 0.12315585549689224, 0.09354805391963426, 0.05543588380422771, 0.04000202979055068, 0.011969111275912802]","[0.13239375260652728, 0.41924688325400306, 0.648878985232556, 0.6189594931180866, 0.050489142943167184, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1938380976385644, 0.6796629951802028, 0.5584862374868903, 0.3635302730799374, 0.16790358861195143, 0.12788395830364344, 0.09949014238657573, 0.04449109738186196, 0.0004471467073553966, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.10244392507872298, 0.5906532555320121, 0.6692869714615788, 0.39056746436263134, 0.19388313164313, 0.050421619374683965, 0.0036015442410488544, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.24362179134819695, 0.8039001137613077, 0.5245379178708875, 0.1377818493946571, 0.01640260111841156, 0.00034531791828234864, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,animal,1015,1836,5508,triangles,"[[-0.3679847137, -0.218108707, -0.486275515], [0.455977161, 0.2499300235, 0.513724485]]","[2.841030800824134e-12, 3.556044108678579e-13, 1.2086898005948598e-11]",1.3776695627788218,1.3403799272009775,0.3372185040906423,0.17126261932104273,0.7259491633718186,1.1715916197685396,7.167379468621509,"[0.3020162898330989, 0.4536575925899693, 0.4584062763923765, 0.3770454939111329, 0.29125260654764257, 0.3089810260766295, 0.27922260758154427, 0.19501261481885632, 0.16335472280280822, 0.108586569615045, 0.08927525548525565, 0.07281315163691064, 0.04811999586439312, 0.018044998449147417]","[0.07560700856662485, 0.5709990839276147, 0.5730761995475768, 0.4089840655705614, 0.4139691430584707, 0.034480119291372874, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.15984871567264058, 0.37139105054239885, 0.5094079950007228, 0.5151796126780709, 0.36461567326899025, 0.4045151172123966, 0.1131738944558256, 0.0401503838424215, 0.02358835050742263, 0.0075281969704540305, 0.0, 0.0, 0.0, 0.0]","[0.11208753633838525, 0.3503302755191636, 0.5518155635120504, 0.6071786381407266, 0.4020629845984183, 0.1597360841745409, 0.06330449926803539, 0.018605623440784595, 0.003857263396260221, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.20001801802163002, 0.62495669575085, 0.6377068482940614, 0.3823053551628566, 0.12750152543211477, 0.018328344280866497, 0.001394547934413755, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,animal,1041,1791,5373,triangles,"[[-0.4813377224, -0.3442941105, -0.4561663635], [0.3865949465, 0.3519825975, 0.5438336365]]","[-5.349782976937758e-12, 1.8501947116608727e-11, -5.302446846610179e-12]",1.496030872625025,0.6819878110234057,0.3872622114205616,0.13987075035189622,0.1433585683411715,1.0175838340533672,4.696249869008308,"[0.3962157263603829, 0.48111909629475064, 0.4776212046495145, 0.3408854403357387, 0.26043393249530783, 0.22132114409857662, 0.19238404048798685, 0.19111207988971918, 0.15899507478346023, 0.15454321268952334, 0.12115424698499669, 0.08808327143003696, 0.06614195110991945, 0.02989107405929052]","[0.10864501386062266, 0.3392213513264333, 0.8750464506452317, 0.3261032227178751, 0.03279532152139538, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2417761061476416, 0.5405357029617599, 0.6081315036309001, 0.40488269684075484, 0.3042964542068123, 0.13519160133828054, 0.06874931262595153, 0.0034605358704338017, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2660255079147281, 0.545840216797923, 0.6576388154191845, 0.4066753577930892, 0.17013752579554384, 0.06640030620200152, 0.00763709592099698, 0.0010607077668051362, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5005803974515165, 0.7434073975243612, 0.42613044015781826, 0.12013929538836396, 0.02712235608010035, 0.0029124677669906418, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
