Model number,Label,Number of vertices,Number of faces,Number of edges,Type of faces,Bounding box,Barycenter,Diagonal,Surface,Bounding box volume,Convex hull volume,Compactness,Diameter,Eccentricity,A3,D1,D2,D3,D4
0,animal,1036,1968,5904,triangles,"[[-0.2498412343, -0.4480664889, -0.3215562083], [0.2671548668, 0.5519335111, 0.3558023505]]","[3.912356425118605e-12, -9.914340133837877e-12, 1.0550073548873237e-13]",1.3138110921027475,0.6599042687920161,0.26086886226657063,0.12751596920119723,0.15626484569569704,1.1084640969878867,8.230931350534746,"[0.2701941345764512, 0.49270695128646985, 0.49906446033532753, 0.38462929745588936, 0.2956241707718819, 0.22569157123444747, 0.18118900789244374, 0.19708278051458794, 0.13668644455044002, 0.14940146264815538, 0.13986519907486886, 0.10807765383058048, 0.05721758143971908, 0.041323808817574886]","[0.30279536012967073, 0.36412100268757874, 0.827896174531758, 0.2376368649118935, 0.183976927673724, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.16247577206513536, 0.4709442668554648, 0.5133292508724566, 0.5604236775580032, 0.36733652814726253, 0.1860229854079086, 0.061222754691210426, 0.030611377345605213, 0.002354721334277324, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.12542424336093666, 0.4670971821717641, 0.6400961385316767, 0.5189968690797379, 0.2746358432213613, 0.10379937381594757, 0.028112330408485802, 0.004324973908997816, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2765802106761837, 0.7313597517209154, 0.5828603097471254, 0.21718043388666775, 0.040837346542792224, 0.007424972098689496, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,animal,894,1640,4920,triangles,"[[-0.4186783317, -0.2202087661, -0.1859142533], [0.5813216683, 0.2049293466, 0.2167924594]]","[1.6614061500266462e-11, 6.289326271451104e-12, 4.525078106738914e-12]",1.1588421425387319,0.5725439955531598,0.15104461455234616,0.08187159167346722,0.24757555005065346,1.0385467505280634,15.718584160495054,"[0.35119209803375945, 0.5612802281075262, 0.3982267540204237, 0.36687031669598086, 0.2759366484550967, 0.22576634873598822, 0.1944099114115454, 0.18500298021421258, 0.16618911781954687, 0.13483268049510408, 0.12542574929777123, 0.056441587183997055, 0.056441587183997055, 0.037627724789331365]","[0.3144291742904904, 0.6268556149867738, 0.508694332928564, 0.49667793136332233, 0.05207107344938057, 0.00400546718841389, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2845440222276043, 0.5532800432203417, 0.5984457610342472, 0.45391546402974975, 0.18292115714631704, 0.09936457919059198, 0.07226514850224872, 0.013549715344171634, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.16806152376786765, 0.6925612243181358, 0.6390031563042, 0.28256497952179943, 0.06279221767151098, 0.0018468299315150289, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.378866171254876, 0.8750381863292533, 0.2996054659714291, 0.031704282113378744, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,animal,1040,1906,5718,triangles,"[[-0.4132388596, -0.3478529943, -0.3582948165], [0.5867611404, 0.3510094047, 0.440920844]]","[3.324471765825592e-11, 4.941419028275464e-12, 1.7913462760854144e-11]",1.4584767138094754,0.8403600420649442,0.41185558573347697,0.19965811543933035,0.13163454417801476,1.3126846954176656,8.95397915618967,"[0.3894349939084686, 0.5856856995001378, 0.43849767030638587, 0.3311730656859418, 0.22998129561523736, 0.20238354014140886, 0.15945369829323122, 0.10119177007070443, 0.1257231082696631, 0.11039102189531393, 0.13798877736914242, 0.1257231082696631, 0.10119177007070443, 0.02759775547382848]","[0.5183540633781362, 0.5608421013599506, 0.4716172215981403, 0.42912918361632585, 0.06585645887181238, 0.07647846836726599, 0.002124401899090722, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2444238390487347, 0.4743274500351683, 0.5783890844816593, 0.5082079821805374, 0.2855644852252544, 0.17182269873722933, 0.09922155842572399, 0.033880532145369166, 0.019360304083068092, 0.004840076020767023, 0.0, 0.0, 0.0, 0.0]","[0.16425192699508961, 0.6292768631630057, 0.6079454440727343, 0.3988975369880748, 0.1962490556304967, 0.09172510208816693, 0.03626341245346135, 0.008532567636108553, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3071177022553703, 0.8083902737526414, 0.48185708457308096, 0.13943849700100144, 0.022945575455860998, 0.005295132797506384, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,animal,1013,1966,5898,triangles,"[[-0.3686023563, -0.3790463276, -0.3850302807], [0.619742946, 0.6209536724, 0.5284783316]]","[-3.1486505295852166e-12, -2.1958691090291913e-12, -1.068102326593634e-11]",1.6767004566483394,0.9915770465533171,0.6871637371106543,0.26820964804672487,0.11983349584610635,1.1815778215950024,6.378890449802777,"[0.2764873945771806, 0.42267613193982784, 0.46399034032492376, 0.40996406782133676, 0.3908959716436002, 0.2733093785475578, 0.19385897780698869, 0.18114691368849764, 0.11758659309604233, 0.15890080148113828, 0.1112305610367968, 0.08898444882943743, 0.05720428853320978, 0.031780160296227655]","[0.08472417077299052, 0.3063104635638888, 0.5409312441660163, 0.6321726588446215, 0.4084139514185184, 0.19986214643884942, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.14915761263845018, 0.3811805656315949, 0.3977536337025338, 0.3756562096079486, 0.4281375918325885, 0.45575937195082, 0.32041264937148556, 0.19059028281579746, 0.05524356023646303, 0.008286534035469454, 0.0, 0.0, 0.0, 0.0]","[0.0568589748156572, 0.2917112620977196, 0.47959309192336946, 0.5834225241954392, 0.4845373506029918, 0.2744063567190413, 0.13843924302942623, 0.0988851735924473, 0.042026198776790105, 0.022249164058300644, 0.0, 0.0, 0.0, 0.0]","[0.17454545612847175, 0.545185190129671, 0.6464646523276731, 0.42882155271068984, 0.2521212144077925, 0.07973064045374635, 0.02370370391868135, 0.004309764348851154, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,animal,1165,1890,5670,triangles,"[[-0.3775448546, -0.2667825043, -0.2219511427], [0.6224551454, 0.3406427166, 0.3522477688]]","[-3.138601067390667e-12, 2.571998643451599e-11, -6.004638694506116e-12]",1.3033302685632673,0.4922105670671315,0.2274368967036556,0.10346356003537016,0.098497586812329,1.1640284152810394,14.224588717087117,"[0.40694605974428755, 0.5415512948904749, 0.4257281855786393, 0.3286872021011553, 0.2786015332095507, 0.2003426755664185, 0.20660338417786905, 0.15651771528626443, 0.11582310931183569, 0.15651771528626443, 0.09391062917175866, 0.1095624007003851, 0.08764992056030808, 0.02191248014007702]","[0.3325476362330104, 0.5237625270669913, 0.7253695315332539, 0.24525388172184517, 0.1247053635873789, 0.11431324995509733, 0.01247053635873789, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.18527329523904068, 0.5168149814562714, 0.5290040140377872, 0.511939368423665, 0.3437307187987465, 0.14383058446188685, 0.10726348671733933, 0.07557200200539817, 0.02437806516303167, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.13411810118812184, 0.48888211078250865, 0.6294897975119912, 0.5148404529479516, 0.2595834216544294, 0.1189757349249468, 0.008652780721814312, 0.008652780721814312, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.29359151742515494, 0.8256149338501326, 0.44661497499220537, 0.1779342529849424, 0.03202816553728963, 0.0035586850596988477, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,animal,1103,1842,5526,triangles,"[[-0.4391428418, -0.3419355774, -0.1280918268], [0.5608571582, 0.3403994947, 0.3399707247]]","[-5.439873213939308e-12, -7.320468481507747e-13, -2.173246897080582e-12]",1.297945955244055,1.2884652147938664,0.28963270636521843,0.17800754444730094,0.5968825778431611,1.1828833747171716,5.071312145671051,"[0.23958608254198913, 0.45116859699465484, 0.4542801045601352, 0.4107189986434099, 0.38582693811956686, 0.27692417332775365, 0.22091703714910685, 0.1991364841907442, 0.13379482531565626, 0.1306833177501759, 0.08089919670248984, 0.08712221183345059, 0.024892060523843025, 0.01555753782740189]","[0.163274459682346, 0.5340035269610846, 0.6742274746882758, 0.4802189990657235, 0.05186365189909814, 0.017287883966366047, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.12915387337217013, 0.5385059805009128, 0.639202220757181, 0.45751117855565354, 0.2320391623296616, 0.14009911687828625, 0.04378097402446445, 0.006567146103669669, 0.0021890487012232226, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.08134686560613809, 0.47587916379590783, 0.6751789845309462, 0.4982495518375958, 0.24404059681841425, 0.05694280592429666, 0.0020336716401534523, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.24081408197038165, 0.7871385664405013, 0.5283532843230762, 0.20487168167629485, 0.03594240029408682, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,animal,1105,1954,5862,triangles,"[[-0.4506588996, -0.3480871118, -0.2586791456], [0.5493411004, 0.3251569695, 0.4518084061]]","[1.0902632206490163e-11, -1.8828652794956234e-12, 2.047510976059698e-11]",1.3993034531959612,1.7632548462819024,0.4148099694536264,0.2910621845732397,0.5721650366417557,1.2198316409185785,3.7823657966900304,"[0.21536896189613647, 0.4339051144083926, 0.43073792379227294, 0.4054003988633157, 0.3990660176310764, 0.3072174897636064, 0.26287682113793126, 0.14569076834150407, 0.1583595308059827, 0.15519234018986305, 0.1235204340286665, 0.06334381232239308, 0.05384224047403412, 0.012668762464478615]","[0.09766693764319045, 0.5541103809144274, 0.584008423050098, 0.5521171781053827, 0.1933406724773362, 0.011959216854268219, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.10362137718464354, 0.38315811563624, 0.5807616721278859, 0.49159909175970423, 0.4313541050244463, 0.22411135065515927, 0.16145656445049109, 0.03373719257174441, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.05068120566753066, 0.3283260714983508, 0.5795285691548071, 0.610377998691565, 0.3701931544410935, 0.20272482267012265, 0.055088267029924635, 0.006610592043590956, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.12516722799017868, 0.5984558088280417, 0.6747295883845569, 0.3931033254066549, 0.12125575211548559, 0.041070496684277376, 0.001955737937346542, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,animal,1029,2020,6060,triangles,"[[-0.2032476317, -0.5114220489, -0.2689687785], [0.3967932654, 0.4885779511, 0.3050764024]]","[-3.6253085898863876e-13, 5.036794936975988e-12, -5.276335862085424e-12]",1.2998372774724867,1.1369532877082715,0.2567785401339285,0.12275797339699537,0.8623351162566123,1.0687072715723336,7.235271791836548,"[0.2744793628487665, 0.44484586392731124, 0.45115573433762773, 0.36597248379835534, 0.3691274190035136, 0.280789233259083, 0.2587046868229753, 0.24923988120750062, 0.11988753779601295, 0.1230424730011712, 0.0978029913599053, 0.06625363930832295, 0.03785922246189883, 0.01577467602579118]","[0.12671139866831196, 0.42299246320157086, 0.6279667845767815, 0.6391472021063384, 0.04658507303982058, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.19977913184214482, 0.7014467295790863, 0.5260850471843147, 0.3751408142369164, 0.16204307360529524, 0.10654887031581058, 0.10654887031581058, 0.03995582636842897, 0.002219768131579387, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1467707668766415, 0.6319296907188732, 0.625814242099013, 0.3771193315580372, 0.20792525307524212, 0.044846623212307125, 0.004076965746573375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.25862068965517243, 0.803448275862069, 0.5206896551724138, 0.12758620689655173, 0.013793103448275862, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,animal,1015,1836,5508,triangles,"[[-0.3679847137, -0.218108707, -0.486275515], [0.455977161, 0.2499300235, 0.513724485]]","[2.841030800824134e-12, 3.556044108678579e-13, 1.2086898005948598e-11]",1.3776695627788218,1.3403799272009775,0.3372185040906423,0.17126261932104273,0.7259491633718186,1.1715916197685396,7.167379468621509,"[0.25120494476679966, 0.42704840610355943, 0.48042945686650435, 0.40506797343646445, 0.2826055628626496, 0.27632543924347963, 0.3108661191489146, 0.24492482114762967, 0.12246241057381484, 0.10362203971630486, 0.10362203971630486, 0.09734191609713487, 0.028260556286264962, 0.006280123619169992]","[0.07788558959809204, 0.5515141749918949, 0.5304640156410593, 0.4336332826272151, 0.4673135375885522, 0.04420533463675494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.19847241611135907, 0.3693094325110099, 0.5250725945224562, 0.5225602854577556, 0.3115263240228927, 0.4019694503521196, 0.12310314417033663, 0.02009847251760598, 0.035172326905810465, 0.005024618129401495, 0.0, 0.0, 0.0, 0.0]","[0.12482088042727076, 0.3513476634249103, 0.5270214951373654, 0.6171699087792832, 0.4091351080671653, 0.16873933835538454, 0.07396792914208637, 0.03004947121397259, 0.009245991142760797, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.2422444871467346, 0.6025577159280121, 0.6453067430715536, 0.3725272365365751, 0.15063942898200303, 0.018321011632946315, 0.004071335918432515, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,animal,1041,1791,5373,triangles,"[[-0.4813377224, -0.3442941105, -0.4561663635], [0.3865949465, 0.3519825975, 0.5438336365]]","[-5.349782976937758e-12, 1.8501947116608727e-11, -5.302446846610179e-12]",1.496030872625025,0.6819878110234057,0.3872622114205616,0.13987075035189622,0.1433585683411715,1.0175838340533672,4.696249869008308,"[0.385309037787011, 0.48244577000222383, 0.41768794852541524, 0.33997856275324495, 0.26226917698107466, 0.26226917698107466, 0.24931761268571298, 0.13922931617513842, 0.22017659302114911, 0.1845597912089044, 0.10685040543673413, 0.11332618758441498, 0.042092583959925566, 0.03237891073840428]","[0.10592110526885001, 0.3429826265848477, 0.8709068655438779, 0.33457618965874847, 0.026900598163517465, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.22527485628026137, 0.5470960795377776, 0.590771816979869, 0.427562482327843, 0.3080288851179084, 0.14022210441934635, 0.0597667986049673, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.27554706939102713, 0.5055312375441678, 0.6530682510763713, 0.43610205470548385, 0.2169661963708875, 0.06725952087497512, 0.015187633745962124, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.473366606610232, 0.7687620471693303, 0.39630692646438026, 0.16512788602682513, 0.023851805759430293, 0.005504262867560837, 0.0018347542891869457, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
